PRODUCT,DRAW NUMBER,SEQUENCE NUMBER,DRAW DATE,NUMBER DRAWN 1,NUMBER DRAWN 2,NUMBER DRAWN 3,NUMBER DRAWN 4,NUMBER DRAWN 5,NUMBER DRAWN 6,BONUS NUMBER
649,288,0,25/10/86,1,3,16,41,42,46,31
649,289,0,29/10/86,13,17,21,22,24,46,27
649,290,0,1/11/86,19,22,24,36,38,41,33
649,291,0,5/11/86,23,25,26,27,38,46,4
649,292,0,8/11/86,2,3,6,11,31,42,1
649,293,0,12/11/86,1,17,26,33,36,43,30
649,294,0,15/11/86,4,23,24,34,39,47,45
649,295,0,19/11/86,2,7,8,22,34,47,3
649,296,0,22/11/86,5,13,18,32,34,39,21
649,297,0,26/11/86,14,20,22,26,35,44,40
649,298,0,29/11/86,2,4,6,21,27,42,17
649,299,0,3/12/86,4,15,25,31,33,47,26
649,300,0,6/12/86,6,8,24,37,45,48,11
649,301,0,10/12/86,14,23,25,30,33,35,17
649,302,0,13/12/86,3,6,7,14,27,43,33
649,303,0,17/12/86,16,21,25,35,37,40,44
649,304,0,20/12/86,7,14,16,34,46,48,49
649,305,0,24/12/86,1,10,19,24,37,41,48
649,306,0,27/12/86,3,15,16,20,26,34,32
649,307,0,31/12/86,8,11,16,20,27,44,36
649,308,0,3/1/87,3,11,16,23,47,49,25
649,309,0,7/1/87,1,3,29,35,37,47,45
649,310,0,10/1/87,7,9,17,18,26,35,46
649,311,0,14/1/87,4,21,23,33,34,36,31
649,312,0,17/1/87,7,15,16,18,31,44,46
649,313,0,21/1/87,2,11,19,34,42,44,49
649,314,0,24/1/87,12,16,20,27,41,42,37
649,315,0,28/1/87,15,18,27,44,46,47,33
649,316,0,31/1/87,6,12,15,24,36,49,48
649,317,0,4/2/87,2,15,21,42,47,49,41
649,318,0,7/2/87,14,15,16,31,32,39,5
649,319,0,11/2/87,11,12,29,33,43,46,22
649,320,0,14/2/87,12,15,16,25,29,37,13
649,321,0,18/2/87,2,10,20,26,35,48,16
649,322,0,21/2/87,9,16,21,27,40,44,11
649,323,0,25/2/87,2,5,24,25,36,46,23
649,324,0,28/2/87,2,11,16,23,29,45,37
649,325,0,4/3/87,6,17,24,26,31,32,37
649,326,0,7/3/87,11,16,22,25,34,37,5
649,327,0,11/3/87,1,21,24,27,30,37,39
649,328,0,14/3/87,2,4,12,30,35,46,34
649,329,0,18/3/87,2,18,22,30,31,33,12
649,330,0,21/3/87,1,15,22,38,42,45,18
649,331,0,25/3/87,3,5,6,11,20,44,48
649,332,0,28/3/87,13,16,40,41,47,48,5
649,333,0,1/4/87,4,28,38,39,43,45,44
649,334,0,4/4/87,2,8,29,32,40,47,5
649,335,0,8/4/87,14,16,18,29,31,35,33
649,336,0,11/4/87,18,25,27,28,40,46,11
649,337,0,15/4/87,15,26,29,34,46,47,37
649,338,0,18/4/87,9,10,11,21,28,37,33
649,339,0,22/4/87,27,31,33,34,39,46,44
649,340,0,25/4/87,1,27,29,34,42,48,33
649,341,0,29/4/87,5,7,10,20,37,38,27
649,342,0,2/5/87,9,11,15,21,32,42,35
